ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
OIAW,medium_airport,Ahwaz Airport,"48.7620010376, 31.337400436399996",66,AS,IR,IR-10,Ahwaz,OIAW,AWZ,
OIBA,medium_airport,Abumusa Island Airport,"55.03300094604492, 25.875699996948242",23,AS,IR,IR-23,,OIBA,AEU,
OIBB,medium_airport,Bushehr Airport,"50.8345985413, 28.9447994232",68,AS,IR,IR-06,Bushehr,OIBB,BUZ,
OIBJ,medium_airport,Jam Airport,"52.35219955444336, 27.820499420166016",2173,AS,IR,IR-06,Kangan,OIBJ,KNR,
OIBK,medium_airport,Kish International Airport,"53.980201721200004, 26.5261993408",101,AS,IR,IR-23,Kish Island,OIBK,KIH,
OIBL,medium_airport,Bandar Lengeh Airport,"54.824798584, 26.531999588",67,AS,IR,IR-23,Bandar Lengeh,OIBL,BDH,
OIBP,medium_airport,Persian Gulf International Airport,"52.737701, 27.379601",27,AS,IR,IR-06,Asalouyeh,OIBP,PGU,
OIBQ,medium_airport,Khark Island Airport,"50.32389831542969, 29.260299682617188",17,AS,IR,IR-06,,OIBQ,KHK,
OIBS,medium_airport,Sirri Island Airport,"54.539398193359375, 25.908899307250977",43,AS,IR,IR-23,,OIBS,SXI,
OIBV,medium_airport,Lavan Island Airport,"53.356300354003906, 26.810300827026367",76,AS,IR,IR-23,,OIBV,LVP,
OICC,medium_airport,Shahid Ashrafi Esfahani Airport,"47.1581001282, 34.3459014893",4307,AS,IR,IR-17,Kermanshah,OICC,KSH,
OICI,medium_airport,Ilam Airport,"46.40480041503906, 33.58660125732422",4404,AS,IR,IR-05,Ilam,OICI,IIL,
OICK,medium_airport,Khoram Abad Airport,"48.282901763916016, 33.43539810180664",3782,AS,IR,IR-20,,OICK,KHD,
OICS,medium_airport,Sanandaj Airport,"47.00920104980469, 35.24589920043945",4522,AS,IR,IR-16,,OICS,SDG,
OIFE,small_airport,Hesa Airport,"51.561100006103516, 32.92890167236328",5256,AS,IR,IR-04,Hesa,OIFE,IFH,
OIFM,medium_airport,Esfahan Shahid Beheshti International Airport,"51.86130142211914, 32.75080108642578",5059,AS,IR,IR-04,Isfahan,OIFM,IFN,
OIFS,medium_airport,Shahrekord Airport,"50.842201232899995, 32.2971992493",6723,AS,IR,IR-08,Shahrekord,OIFS,CQD,
OIGG,medium_airport,Sardar-e-Jangal Airport,"49.617778, 37.323333",-40,AS,IR,IR-19,Rasht,OIGG,RAS,
OIHH,medium_airport,Hamadan Airport,"48.5525016784668, 34.86920166015625",5755,AS,IR,IR-24,Hamadan,OIHH,HDM,
OIHR,small_airport,Arak Airport,"49.8473014831543, 34.138099670410156",5440,AS,IR,IR-22,Araak,OIHR,AJK,
OIIE,large_airport,Imam Khomeini International Airport,"51.152198791503906, 35.416099548339844",3305,AS,IR,IR-07,Tehran,OIIE,IKA,
OIII,large_airport,Mehrabad International Airport,"51.31340026855469, 35.68920135498047",3962,AS,IR,IR-07,Tehran,OIII,THR,
OIIK,medium_airport,Qazvin Airport,"50.0471, 36.240101",4184,AS,IR,IR-28,Qazvin,OIIK,GZW,
OIIP,medium_airport,Payam International Airport,"50.826698303223, 35.776100158691",4170,AS,IR,IR-U-A,Karaj,OIIP,PYK,
OIKB,medium_airport,Bandar Abbas International Airport,"56.37779998779297, 27.218299865722656",22,AS,IR,IR-23,Bandar Abbas,OIKB,BND,
OIKJ,medium_airport,Jiroft Airport,"57.67029953, 28.726900100699996",2663,AS,IR,IR-15,Jiroft,OIKJ,JYR,
OIKK,medium_airport,Kerman Airport,"56.9510993958, 30.274400711099997",5741,AS,IR,IR-15,Kerman,OIKK,KER,
OIKM,medium_airport,Bam Airport,"58.45000076293945, 29.084199905395508",3231,AS,IR,IR-15,,OIKM,BXR,
OIKP,small_airport,Havadarya Airport,"56.17250061035156, 27.158300399780273",19,AS,IR,IR-23,Havadarya,OIKP,HDR,
OIKR,medium_airport,Rafsanjan Airport,"56.05110168457031, 30.297700881958008",5298,AS,IR,IR-15,,OIKR,RJN,
OIKY,medium_airport,Sirjan Airport,"55.672698974609375, 29.550899505615234",5846,AS,IR,IR-15,,OIKY,SYJ,
OIMB,medium_airport,Birjand Airport,"59.2661018371582, 32.898101806640625",4952,AS,IR,IR-29,Birjand,OIMB,XBJ,
OIMC,medium_airport,Sarakhs Airport,"61.06489944458008, 36.50120162963867",945,AS,IR,IR-30,Sarakhs,OIMC,CKT,
OIMJ,small_airport,Shahroud Airport,"55.104198455799995, 36.4253005981",4215,AS,IR,IR-12,,OIMJ,RUD,
OIMM,large_airport,Mashhad International Airport,"59.64099884033203, 36.235198974609375",3263,AS,IR,IR-30,Mashhad,OIMM,MHD,
OIMN,medium_airport,Bojnord Airport,"57.30820083618164, 37.49300003051758",3499,AS,IR,IR-31,Bojnord,OIMN,BJB,
OIMS,medium_airport,Sabzevar National Airport,"57.59519958496094, 36.16809844970703",3010,AS,IR,IR-30,Sabzevar,OIMS,AFZ,
OIMT,medium_airport,Tabas Airport,"56.8927001953, 33.6678009033",2312,AS,IR,IR-25,Tabas,OIMT,TCX,
OINE,small_airport,Kalaleh Airport,"55.4519996643, 37.3833007812",425,AS,IR,IR-27,Kalaleh,OINE,KLM,
OING,medium_airport,Gorgan Airport,"54.4012985229, 36.909400939899996",-24,AS,IR,IR-27,Gorgan,OING,GBT,
OINJ,small_airport,Bishe Kola Air Base,"52.34960174560547, 36.65510177612305",-79,AS,IR,IR-21,Amol,OINJ,BSM,
OINN,medium_airport,Noshahr Airport,"51.464698791503906, 36.663299560546875",-61,AS,IR,IR-21,,OINN,NSH,
OINR,medium_airport,Ramsar Airport,"50.67959976196289, 36.9099006652832",-70,AS,IR,IR-21,,OINR,RZR,
OINZ,medium_airport,Dasht-e Naz Airport,"53.193599700899995, 36.635799408",35,AS,IR,IR-21,Sari,OINZ,SRY,
OISF,medium_airport,Fasa Airport,"53.72330093383789, 28.891799926757812",4261,AS,IR,IR-14,Fasa,OISF,FAZ,
OISJ,small_airport,Jahrom Airport,"53.5791015625, 28.586700439499996",3358,AS,IR,IR-14,Jahrom,OISJ,JAR,
OISL,medium_airport,Lar Airport,"54.3833007812, 27.6746997833",2641,AS,IR,IR-14,Lar,OISL,LRR,
OISR,small_airport,Lamerd Airport,"53.18880081179999, 27.3726997375",1337,AS,IR,IR-14,Lamerd,OISR,LFM,
OISS,large_airport,Shiraz Shahid Dastghaib International Airport,"52.58980178833008, 29.539199829101562",4920,AS,IR,IR-14,Shiraz,OISS,SYZ,
OISY,medium_airport,Yasouj Airport,"51.545101165771, 30.700500488281",5939,AS,IR,IR-18,Yasouj,OISY,YES,
OITK,small_airport,Khoy Airport,"44.97359848022461, 38.4275016784668",3981,AS,IR,IR-02,Khoy,OITK,KHY,
OITL,medium_airport,Ardabil Airport,"48.4244003296, 38.3256988525",4315,AS,IR,IR-03,Ardabil,OITL,ADU,
OITM,small_airport,Sahand Airport,"46.127899169921875, 37.347999572753906",4396,AS,IR,IR-01,Maragheh,OITM,ACP,
OITP,small_airport,Parsabade Moghan Airport,"47.881500244141, 39.60359954834",251,AS,IR,IR-03,Parsabad,OITP,PFQ,
OITR,medium_airport,Urmia Airport,"45.0686988831, 37.6680984497",4343,AS,IR,IR-02,Urmia,OITR,OMH,
OITT,large_airport,Tabriz International Airport,"46.23500061035156, 38.1338996887207",4459,AS,IR,IR-01,Tabriz,OITT,TBZ,
OITZ,medium_airport,Zanjan Airport,"48.3594017029, 36.7737007141",5382,AS,IR,IR-11,Zanjan,OITZ,JWN,
OIYY,medium_airport,Shahid Sadooghi Airport,"54.2765007019, 31.9048995972",4054,AS,IR,IR-25,Yazd,OIYY,AZD,
OIZB,medium_airport,Zabol Airport,"61.54389953613281, 31.09830093383789",1628,AS,IR,IR-13,,OIZB,ACZ,
OIZC,medium_airport,Konarak Airport,"60.3820991516, 25.443300247199996",43,AS,IR,IR-13,Chabahar,OIZC,ZBR,
OIZH,medium_airport,Zahedan International Airport,"60.90620040893555, 29.47570037841797",4564,AS,IR,IR-13,Zahedan,OIZH,ZAH,
OIZI,medium_airport,Iran Shahr Airport,"60.7200012207, 27.2360992432",2040,AS,IR,IR-13,Iranshahr,OIZI,IHR,
OJAI,large_airport,Queen Alia International Airport,"35.9931983948, 31.7226009369",2395,AS,JO,JO-AM,Amman,OJAI,AMM,
OJAM,medium_airport,Amman-Marka International Airport,"35.991600036621094, 31.972700119018555",2555,AS,JO,JO-AM,Amman,OJAM,ADJ,
OJAQ,medium_airport,Aqaba King Hussein International Airport,"35.01810073852539, 29.611600875854492",175,AS,JO,JO-AQ,Aqaba,OJAQ,AQJ,
OJMF,small_airport,King Hussein Air College,"36.259201, 32.3564",2240,AS,JO,JO-MA,Mafraq,OJMF,OMF,
OKAJ,medium_airport,Ahmed Al Jaber Air Base,"47.791900634799994, 28.9347991943",409,AS,KW,KW-AH,Ahmed Al Jaber AB,OKAJ,XIJ,
OKBK,large_airport,Kuwait International Airport,"47.96889877319336, 29.226600646972656",206,AS,KW,KW-FA,Kuwait City,OKBK,KWI,
OKV,small_airport,Okao Airport,"141.032777778, -5.55666666667",450,OC,PG,PG-WPD,Okao,AYOF,OKV,OKO
OLBA,large_airport,Beirut Rafic Hariri International Airport,"35.488399505615234, 33.820899963378906",87,AS,LB,LB-JL,Beirut,OLBA,BEY,
OLKA,medium_airport,Rene Mouawad Air Base,"36.01129913330078, 34.589298248291016",75,AS,LB,LB-AS,Tripoli,OLKA,KYE,
OLQ,small_airport,Olsobip Airport,"141.515277778, -5.3897222222200005",1500,OC,PG,PG-WPD,Olsobip,AYOV,OLQ,OLS
OM-0001,small_airport,Dibba Airport,"56.2444000244, 25.6142292023",45,AS,OM,OM-MU,Dibba Al-Baya,,BYB,
OM-0002,small_airport,Adam Airport,"57.3838888889, 22.4919444444",1075,AS,OM,OM-DA,Adam,,AOM,
OM-0003,large_airport,Duqm Jaaluni Airport,"57.6428, 19.5",380,AS,OM,OM-WU,Duqm,OODQ,JNJ,
OM-0004,large_airport,Rustaq Airport,"57.4875, 23.640556",349,AS,OM,OM-BA,Al Masna'ah,OORQ,MNH,
OMAA,large_airport,Abu Dhabi International Airport,"54.651100158691406, 24.433000564575195",88,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH,
OMAD,medium_airport,Bateen Airport,"54.458099365234375, 24.428300857543945",16,AS,AE,AE-AZ,,OMAD,AZI,
OMAL,medium_airport,Al Ain International Airport,"55.60919952392578, 24.261699676513672",869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,
OMAM,medium_airport,Al Dhafra Air Base,"54.547698974599996, 24.248199462900004",77,AS,AE,AE-AZ,,OMAM,DHF,
OMBY,medium_airport,Sir Bani Yas Airport,"52.580278, 24.283611",25,AS,AE,AE-AZ,,OMBY,XSB,OMBY
OMDB,large_airport,Dubai International Airport,"55.3643989563, 25.2527999878",62,AS,AE,AE-DU,Dubai,OMDB,DXB,
OMDM,medium_airport,Al Minhad Air Base,"55.3661994934, 25.0268001556",165,AS,AE,AE-DU,Dubai,OMDM,NHD,
OMDW,large_airport,Al Maktoum International Airport,"55.161389, 24.896356",114,AS,AE,AE-DU,Jebel Ali,OMDW,DWC,
OMFJ,medium_airport,Fujairah International Airport,"56.32400131225586, 25.112199783325195",152,AS,AE,AE-FU,,OMFJ,FJR,
OMN,small_airport,Osmanabad Airport,"76.0574, 18.281",2277,AS,IN,IN-MM,Osmanabad,,OMN,
OMRK,medium_airport,Ras Al Khaimah International Airport,"55.93880081176758, 25.613500595092773",102,AS,AE,AE-RK,Ras Al Khaimah,OMRK,RKT,
OMSJ,large_airport,Sharjah International Airport,"55.5172004699707, 25.32859992980957",111,AS,AE,AE-SH,Sharjah,OMSJ,SHJ,
OMY,small_airport,Preah Vinhear Airport,"104.97173, 13.7597",350,AS,KH,KH-13,Tbeng Meanchey,,OMY,
ONB,small_airport,Ononge Airport,"147.262416667, -8.67436111111",5800,OC,PG,PG-CPM,Onange Mission,AYQQ,ONB,ONG
OOBR,small_airport,Buraimi Airport,"55.784722, 24.241111",970,AS,OM,OM-BU,Buraimi,OOBR,RMB,
OOFD,small_airport,Fahud Airport,"56.4841461182, 22.354759318",552,AS,OM,OM-ZA,Fahud,OOFD,FAU,
OOGB,small_airport,Qarn Alam Airport,"57.0499992371, 21.3829994202",443,AS,OM,OM-WU,Ghaba,OOGB,RNM,
OOJA,small_airport,Ja'Aluni Airport,"57.3083, 19.4749",560,AS,OM,OM-WU,Duqm,OOJA,JNJ,
OOKB,medium_airport,Khasab Air Base,"56.2406005859375, 26.17099952697754",100,AS,OM,OM-MU,Khasab,OOKB,KHS,
OOLK,small_airport,Lekhwair Airport,"55.3733682632, 22.8049846844",354,AS,OM,OM-ZA,,OOLK,LKW,
OOMA,medium_airport,Masirah Air Base,"58.890499114990234, 20.675399780273438",64,AS,OM,OM-SH,Masirah,OOMA,MSH,
OOMS,large_airport,Muscat International Airport,"58.284400939941406, 23.593299865722656",48,AS,OM,OM-MA,Muscat,OOMS,MCT,
OOMX,small_airport,Marmul Airport,"55.182098388671875, 18.13599967956543",925,AS,OM,OM-ZU,Marmul,OOMX,OMM,
OOSA,medium_airport,Salalah Airport,"54.09130096435547, 17.038700103759766",73,AS,OM,OM-ZU,Salalah,OOSA,SLL,
OOSR,small_airport,Sur Airport,"59.483001708984375, 22.533000946044922",20,AS,OM,OM-SH,Sur,OOSR,SUH,
OOTH,medium_airport,Thumrait Air Base,"54.024600982666016, 17.666000366210938",1570,AS,OM,OM-ZU,Thumrait,OOTH,TTH,
OP17,small_airport,Dadu West Airport,"67.6666030883789, 26.740800857543945",128,AS,PK,PK-SD,Dadu,OP17,DDU,OP17
OPBG,small_airport,Bhagatanwala Airport,"72.94840240479999, 32.056098938",600,AS,PK,PK-PB,Bhagatanwala,OPBG,BHW,
OPBN,small_airport,Bannu Airport,"70.52790069580078, 32.972900390625",1325,AS,PK,PK-NW,Bannu,OPBN,BNP,
OPBR,small_airport,Bahawalnagar Airport,"73.24909973144531, 29.946300506591797",500,AS,PK,PK-PB,Bahawalnagar,OPBR,WGB,
OPBW,medium_airport,Bahawalpur Airport,"71.71800231933594, 29.348100662231445",392,AS,PK,PK-PB,Bahawalpur,OPBW,BHV,
OPCH,medium_airport,Chitral Airport,"71.80059814453125, 35.886600494384766",4920,AS,PK,PK-NW,Chitral,OPCH,CJL,
OPCL,small_airport,Chilas Airport,"74.081703186, 35.426700592",4146,AS,PK,PK-NA,Chilas,OPCL,CHB,
OPDB,small_airport,Dalbandin Airport,"64.3998031616, 28.878299713100002",2800,AS,PK,PK-BA,Dalbandin,OPDB,DBA,
OPDD,small_airport,Dadu Airport,"67.67459869380001, 26.5545005798",121,AS,PK,PK-SD,Dadu,OPDD,DDU,
